id,name,country,url,short_url,easy-form
38,"University of California, Irvine",us,https://apps.grad.uci.edu/ogsa/index.cfm?action=new_user,https://tinyurl.com/hutg5fd,1
12,"University of California, Los Angeles",us,https://uclagrad.askadmissions.net/emtinterestpage.aspx?ip=createapp,https://tinyurl.com/gs4377s,0
95,"University of California, Riverside",us,https://gradsis.ucr.edu/gradsis/GSIS_LOGIN.Login_student,https://tinyurl.com/yhu6pvm,0
24,"University of California, San Diego",us,https://apply.grad.ucsd.edu/signup,https://tinyurl.com/j53snwf,1
104,"University of California, San Francisco",us,https://gradapplication.ucsf.edu/security/NewUser.aspx,https://tinyurl.com/znsl2dk,1
56,"University of California, Santa Barbara",us,https://www.graddiv.ucsb.edu/eapp/login.aspx,https://tinyurl.com/4ynrs22,0
125,University of Central Florida,us,https://application.graduate.ucf.edu/CreateAccount,https://tinyurl.com/hkfyrwd,1
29,University of Chicago,us,https://apply-psd.uchicago.edu/account/register?r=https%3a%2f%2fapply-psd.uchicago.edu%2fapply%2f,https://tinyurl.com/jhk4ylb,0
41,University of Colorado Boulder,us,https://soa.prod.cu.edu/degreeprog/userRegDEGREEPROG_CUBLD/viewBioData.action,https://tinyurl.com/zhxvs3s,0
115,University of Connecticut,us,https://uconngrad.askadmissions.net/emtinterestpage.aspx?ip=application,https://tinyurl.com/zvrlmy5,0
76,University of Delaware,us,https://grad-admissions.udel.edu/account/register,https://tinyurl.com/zsompcs,0
66,University of Georgia,us,https://applyweb.collegenet.com/account/new/create?origin=https%3A%2F%2Fwww.applyweb.com%2Fcgi-bin%2Fapplymenu%3Finstcode%3Dugagrad,https://tinyurl.com/zbzlejo,1
89,University of Houston,us,https://applyweb.collegenet.com/account/new/create?origin=https%3A%2F%2Fwww.applyweb.com%2Fcgi-bin%2Fapplymenu%3Finstcode%3Duhouston,https://tinyurl.com/hsma5du,1
110,University of Illinois at Chicago,us,https://ui2web2.apps.uillinois.edu/BANPROD2/bwskalog.p_disploginnew?in_id=&cpbl=&newid=&web_page_id_in=2GI,https://tinyurl.com/hpgqm2h,1
23,University of Illinois at Urbana-Champaign,us,https://uiucgrad.askadmissions.net/emtinterestpage.aspx?ip=applicant,https://tinyurl.com/hjjxsgq,0
59,University of Iowa,us,https://apply.admissions.uiowa.edu/admissions/register.page?,https://tinyurl.com/jl4uqvq,1
123,University of Kansas,us,https://applyweb.collegenet.com/account/new/create?origin=https%3A%2F%2Fwww.applyweb.com%2Fcgi-bin%2Fapplymenu%3Finstcode%3Dkugrad,https://tinyurl.com/j5axnv5,1
111,University of Kentucky,us,https://app.applyyourself.com/AYApplicantLogin/fl_ApplicantConnectLogin.asp?id=ukgrad,https://tinyurl.com/lxvprln,0
137,University of Leeds,gb,https://studentservices.leeds.ac.uk/pls/banprod/bwskalog_uol.p_disploginnew?in_id=&cpbl=&newid=,https://tinyurl.com/jjwnch3,1
27,University of Maryland,us,https://umdgrad.askadmissions.net/emtinterestpage.aspx?ip=accountcreation,https://tinyurl.com/hpsfq59,1
8,University of Michigan,us,https://applyweb.collegenet.com/account/new/create?origin=https%3A%2F%2Fwww.applyweb.com%2Fcgi-bin%2Fapplymenu%3Finstcode%3Dumgrad#,http://tinyurl.com/jalms7z,1
15,University of Minnesota,us,https://umngrad.askadmissions.net/emtinterestpage.aspx?ip=account,https://tinyurl.com/no9orlp,0
105,University of Missouri,us,https://umcgrad.askadmissions.net/emtinterestpage.aspx?ip=apply,https://tinyurl.com/nnc82od,0
80,University of Nebraska-Lincoln,us,https://wam.unl.edu/gradstudies/apply,https://tinyurl.com/jrbjex3,0
127,University of New Mexico,us,https://app.applyyourself.com/AYApplicantLogin/fl_ApplicantLogin.asp?id=unmgrad,https://tinyurl.com/phoxotr,0
28,University of North Carolina at Chapel Hill,us,https://app.applyyourself.com/AYApplicantLogin/fl_ApplicantLogin.asp?id=unc-ch,https://tinyurl.com/jo46l4f,0
85,University of Notre Dame,us,https://gradconnect.nd.edu/account/register,https://tinyurl.com/jlhj6lm,0
75,University of Oregon,us,https://duckweb.uoregon.edu/pls/prod/bwskalog.p_disploginnew?in_id=&cpbl=&newid=,https://tinyurl.com/285fra,1
20,University of Oxford,gb,https://evision.ox.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app_crs,https://tinyurl.com/zw6szsr,0
14,University of Pennsylvania,us,https://applyweb.collegenet.com/account/new/create?origin=https%3A%2F%2Fwww.applyweb.com%2Fcgi-bin%2Fapplymenu%3Finstcode%3Dupenng,https://tinyurl.com/zxqfo9y,1
55,University of Pittsburgh,us,https://app.applyyourself.com/AYApplicantLogin/fl_ApplicantLogin.asp?id=up-e,https://tinyurl.com/jy9oeqw,0
101,University of Rochester,us,https://apply.grad.rochester.edu/account/register,https://tinyurl.com/henjgu6,0
69,University of South Florida,us,https://secure.vzcollegeapp.com/usf/default.aspx?cid=87&ltid=1,https://tinyurl.com/j8mfs54,1
22,University of Southern California,us,http://www.usc.edu/admission/graduate/applyonline/,https://tinyurl.com/6t5sk8,0
37,University of Toronto,ca,https://apply.sgs.utoronto.ca/profile_create.aspx,https://tinyurl.com/zvusy4d,0
50,University of Utah,us,https://app.applyyourself.com/AYApplicantLogin/fl_ApplicantLogin.asp?id=utahgrad,https://tinyurl.com/z3klfhv,0
6,University of Washington,us,https://apps.grad.uw.edu/applForAdmiss/newUserProfile.aspx?bhcp=1,http://tinyurl.com/j8398a4,0
88,University of Waterloo,ca,https://horizon.ouac.on.ca/webapp/create_account.d2w/report?ident=REG_NEW&merchant_rn=656872&substack=x10;,https://tinyurl.com/zuxt3qj,1
13,University of Wisconsin-Madison,us,https://apply.grad.wisc.edu/Account/Register,https://tinyurl.com/jmc7o54,0
62,Vanderbilt University,us,https://apply.vanderbilt.edu/account/register,https://tinyurl.com/zathay8,0
72,Washington State University,us,https://applyweb.collegenet.com/account/new/create?origin=https%3A%2F%2Fwww.applyweb.com%2Fcgi-bin%2Fapplymenu%3Finstcode%3Dwsugrad,https://tinyurl.com/gtdr2v7,1
60,Washington University in St. Louis,us,https://app.applyyourself.com/AYApplicantLogin/fl_ApplicantLogin.asp?id=wustl-eng,https://tinyurl.com/a5g7u27,0
16,Yale University,us,https://app.applyyourself.com/AYApplicantLogin/fl_ApplicantLogin.asp?id=YALE-GRAD&masked=1,https://tinyurl.com/zdrypbu,0
